index,latitude,longitude,chi,elevation,flow distance,drainage area,m_chi,b_chi,source_key,basin_key,segmented_elevation,segment_number,Geology,GeoCode
351655,46.0464864,25.8281245,18.352,567.0,557260.0,1439000000.0,28.422,45.325,10111,102,566.92,14766,ne,15.0
351656,46.0456885,25.8293043,18.342,567.0,557130.0,1439100000.0,28.422,45.325,10111,102,566.64,14766,ne,15.0
351657,46.0448787,25.8293214,18.335,566.0,557040.0,1460900000.0,28.422,45.325,10111,102,566.45,14766,ne,15.0
351658,46.0440688,25.8293385,18.329,566.0,556950.0,1461300000.0,28.422,45.325,10111,102,566.26,14766,ne,15.0
351659,46.0432589,25.8293556,18.322,565.0,556860.0,1461300000.0,28.422,45.325,10111,102,566.06,14766,ne,15.0
351660,46.0424491,25.8293727,18.315,565.0,556770.0,1461500000.0,28.422,45.325,10111,102,565.87,14766,ne,15.0
351661,46.0416511,25.8305527,18.305,564.01,556650.0,1461600000.0,28.422,45.325,10111,102,565.6,14766,ne,15.0
351662,46.0408294,25.8294069,18.296,564.01,556520.0,1461700000.0,28.422,45.325,10111,102,565.33,14766,ne,15.0
351663,46.0400314,25.8305869,18.286,564.01,556390.0,1461800000.0,28.422,45.325,10111,102,565.06,14766,ne,15.0
351664,46.0392097,25.8294411,18.277,564.01,556270.0,1462100000.0,28.422,45.325,10111,102,564.78,14766,ne,15.0
351665,46.0384117,25.8306211,18.267,564.01,556140.0,1462600000.0,28.422,45.325,10111,102,564.51,14766,ne,15.0
351666,46.0375899,25.8294753,18.258,564.01,556010.0,1462600000.0,28.422,45.325,10111,102,564.24,14766,ne,15.0
351667,46.036792,25.8306552,18.248,564.01,555880.0,1462800000.0,28.422,45.325,10111,102,563.97,14766,ne,15.0
351668,46.0359702,25.8295095,18.239,564.0,555760.0,1462900000.0,28.422,45.325,10111,102,563.7,14766,ne,15.0
351669,46.0351723,25.8306894,18.229,564.0,555630.0,1463100000.0,28.422,45.325,10111,102,563.43,14766,ne,15.0
351670,46.0343505,25.8295437,18.219,564.0,555500.0,1463300000.0,28.422,45.325,10111,102,563.16,14766,ne,15.0
351671,46.0335288,25.8283985,18.21,564.0,555370.0,1463400000.0,28.422,45.325,10111,102,562.88,14766,ne,15.0
351672,46.0327308,25.8295779,18.2,564.0,555250.0,1463600000.0,28.422,45.325,10111,102,562.61,14766,ne,15.0
351673,46.031909,25.8284327,18.191,564.0,555120.0,1464900000.0,28.422,45.325,10111,102,562.34,14766,ne,15.0
351674,46.0310873,25.8272875,18.181,564.0,554990.0,1465000000.0,28.422,45.325,10111,102,562.07,14766,ne,15.0
351675,46.0302774,25.8273046,18.174,564.0,554900.0,1465000000.0,28.422,45.325,10111,102,561.88,14766,ne,15.0
351676,46.0294556,25.8261591,18.165,561.0,554780.0,1465100000.0,28.422,45.325,10111,102,561.61,14766,ne,15.0
351677,46.0286458,25.8261762,18.158,561.0,554690.0,1465100000.0,28.422,45.325,10111,102,561.41,14766,ne,15.0
351678,46.0278359,25.8261934,18.151,561.0,554600.0,1465100000.0,28.422,45.325,10111,102,561.22,14766,ne,15.0
351679,46.027026,25.8262105,18.145,560.0,554510.0,1465400000.0,28.422,45.325,10111,102,561.03,14766,ne,15.0
