index,latitude,longitude,chi,elevation,flow distance,drainage area,m_chi,b_chi,source_key,basin_key,segmented_elevation,segment_number,Geology,GeoCode
28092,47.0051838,26.4583809,14.372,373.0,311490.0,178320000.0,32.94,-100.59,711,4,372.82,1185,bd,29.0
28093,47.004374,26.458389,14.354,373.0,311400.0,179180000.0,32.94,-100.59,711,4,372.24,1185,bd,29.0
28094,47.0035697,26.4595811,14.33,373.0,311270.0,179220000.0,32.94,-100.59,711,4,371.43,1185,bd,29.0
28095,47.0027598,26.4595892,14.312,373.0,311180.0,179230000.0,32.94,-100.59,711,4,370.86,1185,bd,29.0
28096,47.00195,26.4595974,14.295,373.0,311090.0,179230000.0,32.94,-100.59,711,4,370.29,1185,bd,29.0
28097,47.0011457,26.4607894,14.27,371.0,310960.0,179320000.0,32.94,-100.59,711,4,369.48,1185,bd,29.0
28098,47.0003359,26.4607975,14.253,369.0,310870.0,179370000.0,32.94,-100.59,711,4,368.9,1185,bd,29.0
28099,47.0003414,26.4619809,14.236,369.0,310780.0,179410000.0,32.94,-100.59,711,4,368.33,1185,bd,29.0
28100,46.9995371,26.4631723,14.211,369.0,310650.0,179460000.0,32.94,-100.59,711,4,367.52,1185,bd,29.0
28101,46.9987328,26.4643642,14.186,368.0,310530.0,179540000.0,32.94,-100.59,711,4,366.71,1185,bd,29.0
28102,46.997923,26.4643723,14.169,367.0,310440.0,179580000.0,32.94,-100.59,711,4,366.14,1185,bd,29.0
28103,46.9971187,26.4655641,14.144,366.0,310310.0,179660000.0,32.94,-100.59,711,4,365.33,1185,bd,29.0
28104,46.9963088,26.4655721,14.127,366.0,310220.0,179680000.0,32.94,-100.59,711,4,364.76,1185,bd,29.0
28105,46.9954989,26.4655802,14.11,365.0,310130.0,179700000.0,32.94,-100.59,711,4,364.19,1185,bd,29.0
28106,46.9946891,26.4655883,14.092,364.0,310040.0,179760000.0,32.94,-100.59,711,4,363.62,1185,bd,29.0
