index,latitude,longitude,chi,elevation,flow distance,drainage area,m_chi,b_chi,source_key,basin_key,segmented_elevation,segment_number,Geology,GeoCode
72598,46.0136236,26.3925858,17.297,783.0,253100.0,42220000.0,35.438,168.27,1920,4,781.23,3000,Pr,5.0
72599,46.0144274,26.3914148,17.25,783.0,252970.0,42349000.0,35.438,168.27,1920,4,779.56,3000,Pr,5.0
72600,46.0152312,26.3902433,17.203,783.0,252850.0,42422000.0,35.438,168.27,1920,4,777.9,3000,Pr,5.0
72601,46.0160412,26.3902344,17.169,779.0,252760.0,42519000.0,35.438,168.27,1920,4,776.72,3000,Pr,5.0
72627,46.0370775,26.3865142,16.197,708.01,250010.0,54317000.0,9.5349,554.73,1920,4,709.17,3001,Pr,5.0
72628,46.0378812,26.3853426,16.155,708.01,249880.0,54414000.0,9.5349,554.73,1920,4,708.77,3001,Pr,5.0
72629,46.038685,26.3841706,16.113,708.01,249750.0,54633000.0,9.5349,554.73,1920,4,708.37,3001,Pr,5.0
72630,46.0395012,26.3853247,16.071,708.01,249630.0,54811000.0,9.5349,554.73,1920,4,707.96,3001,Pr,5.0
72631,46.0403049,26.3841526,16.029,708.0,249500.0,54900000.0,9.5349,554.73,1920,4,707.57,3001,Pr,5.0
72676,46.0743815,26.3954107,14.545,628.0,244670.0,76569000.0,29.315,201.75,1920,4,628.15,3003,Pr,5.0
72677,46.0751977,26.3965653,14.509,628.0,244540.0,77864000.0,29.315,201.75,1920,4,627.09,3003,Pr,5.0
72678,46.0760015,26.395393,14.473,628.0,244410.0,77913000.0,29.315,201.75,1920,4,626.04,3003,Pr,5.0
72841,46.1866673,26.5037888,10.547,387.01,226800.0,189030000.0,19.025,186.56,1920,4,387.21,3008,Pr,5.0
72842,46.1874823,26.5049473,10.523,387.01,226670.0,189070000.0,19.025,186.56,1920,4,386.75,3008,Pr,5.0
72843,46.1882974,26.5061062,10.499,387.01,226540.0,190170000.0,19.025,186.56,1920,4,386.29,3008,Pr,5.0
72844,46.1891124,26.5072652,10.475,387.01,226420.0,190220000.0,19.025,186.56,1920,4,385.84,3008,Pr,5.0
72845,46.1899274,26.5084243,10.451,387.01,226290.0,190250000.0,19.025,186.56,1920,4,385.38,3008,Pr,5.0
72846,46.1907423,26.5095829,10.427,387.01,226160.0,190770000.0,19.025,186.56,1920,4,384.93,3008,Pr,5.0
72847,46.1915573,26.5107416,10.403,387.01,226040.0,193990000.0,19.025,186.56,1920,4,384.47,3008,Pr,5.0
74092,45.9910398,26.4102619,19.982,940.0,256970.0,2866500.0,71.598,-490.37,1970,4,940.28,3076,Pr,5.0
74093,45.9910338,26.4090998,19.87,933.0,256880.0,2923100.0,71.598,-490.37,1970,4,932.28,3076,Pr,5.0
74094,45.9910278,26.4079378,19.759,926.0,256790.0,2939300.0,71.598,-490.37,1970,4,924.35,3076,Pr,5.0
74095,45.9910217,26.4067761,19.648,917.0,256700.0,3222700.0,71.598,-490.37,1970,4,916.43,3076,Pr,5.0
74096,45.9910157,26.4056144,19.542,910.0,256610.0,3473800.0,71.598,-490.37,1970,4,908.84,3076,Pr,5.0
75264,46.0152926,26.4018669,18.037,834.0,253970.0,5206600.0,61.048,-267.96,2001,4,833.17,3125,Pr,5.0
75265,46.0144765,26.4007135,17.916,829.0,253840.0,5255200.0,61.048,-267.96,2001,4,825.79,3125,Pr,5.0
75266,46.0144704,26.399551,17.831,820.0,253750.0,5352400.0,61.048,-267.96,2001,4,820.6,3125,Pr,5.0
75267,46.0136543,26.3983972,17.712,809.0,253630.0,5400900.0,61.048,-267.96,2001,4,813.31,3125,Pr,5.0
75268,46.0136482,26.3972351,17.628,805.0,253540.0,5506200.0,61.048,-267.96,2001,4,808.18,3125,Pr,5.0
75269,46.0128321,26.3960818,17.51,800.0,253410.0,5530500.0,61.048,-267.96,2001,4,800.99,3125,Pr,5.0
75270,46.0128259,26.3949193,17.427,791.0,253320.0,5571000.0,61.048,-267.96,2001,4,795.91,3125,Pr,5.0
79688,46.0808633,26.5757306,13.102,555.0,234730.0,67151000.0,81.683,-519.73,2128,4,550.49,3328,Pr,5.0
79689,46.0816776,26.5768884,13.064,540.0,234610.0,67321000.0,81.683,-519.73,2128,4,547.37,3328,Pr,5.0
79690,46.0824876,26.5768822,13.037,536.0,234520.0,67694000.0,81.683,-519.73,2128,4,545.16,3328,Pr,5.0
82913,46.0905657,26.5721644,13.306,564.0,234900.0,27045000.0,68.309,-351.43,2229,4,557.48,3480,Pr,5.0
82914,46.0905701,26.5733286,13.265,564.0,234810.0,27069000.0,68.309,-351.43,2229,4,554.7,3480,Pr,5.0
82915,46.0897644,26.5744986,13.208,550.0,234680.0,27223000.0,68.309,-351.43,2229,4,550.77,3480,Pr,5.0
82916,46.0889587,26.5756686,13.15,546.0,234550.0,27612000.0,68.309,-351.43,2229,4,546.85,3480,Pr,5.0
82917,46.088963,26.5768327,13.11,543.0,234460.0,27750000.0,68.309,-351.43,2229,4,544.09,3480,Pr,5.0
82969,46.0500307,26.5608456,15.368,789.0,239770.0,10324000.0,116.44,-1006.2,2233,4,783.27,3485,Pr,5.0
82970,46.0508407,26.5608392,15.305,786.0,239680.0,10348000.0,116.44,-1006.2,2233,4,775.96,3485,Pr,5.0
82971,46.0516462,26.5596698,15.216,776.0,239560.0,10397000.0,116.44,-1006.2,2233,4,765.63,3485,Pr,5.0
82972,46.0524562,26.5596634,15.154,769.0,239470.0,10462000.0,116.44,-1006.2,2233,4,758.34,3485,Pr,5.0
87169,46.1593839,26.5658039,11.403,410.0,225000.0,23409000.0,70.841,-397.24,2375,4,410.54,3685,Pr,5.0
87170,46.1601939,26.5657975,11.359,405.0,224910.0,23450000.0,29.993,56.852,2375,4,397.55,3686,Pr,5.0
87171,46.1610039,26.5657911,11.316,397.0,224820.0,23474000.0,29.993,56.852,2375,4,396.25,3686,Pr,5.0
87172,46.1618139,26.5657848,11.272,392.0,224730.0,23507000.0,29.993,56.852,2375,4,394.95,3686,Pr,5.0
87173,46.1626239,26.5657784,11.229,390.0,224640.0,23685000.0,29.993,56.852,2375,4,393.65,3686,Pr,5.0
87174,46.1634338,26.565772,11.186,389.0,224550.0,35742000.0,29.993,56.852,2375,4,392.35,3686,Pr,5.0
87175,46.1642483,26.5669314,11.135,388.0,224420.0,35798000.0,29.993,56.852,2375,4,390.83,3686,Pr,5.0
87176,46.1650626,26.5680908,11.084,388.0,224300.0,36025000.0,29.993,56.852,2375,4,389.31,3686,Pr,5.0
87177,46.165067,26.5692561,11.049,388.0,224210.0,36130000.0,29.993,56.852,2375,4,388.23,3686,Pr,5.0
87178,46.1658814,26.5704151,10.998,384.0,224080.0,36365000.0,29.993,56.852,2375,4,386.72,3686,Pr,5.0
