index,latitude,longitude,chi,elevation,flow distance,drainage area,m_chi,b_chi,source_key,basin_key,segmented_elevation,segment_number,Geology,GeoCode
39,47.3080348,26.0791012,2.8478,591.0,6464.6,17944000.0,51.042,448.67,3,3,594.03,4,Pr,5.0
40,47.3088541,26.0802773,2.7785,591.0,6337.3,18114000.0,51.042,448.67,3,3,590.5,4,Pr,5.0
41,47.3096734,26.0814538,2.7096,591.0,6210.1,18162000.0,51.042,448.67,3,3,586.98,4,Pr,5.0
49,47.3153986,26.0884985,2.226,563.0,5303.8,19426000.0,51.042,448.67,3,3,562.29,4,Pr,5.0
50,47.3162178,26.0896748,2.1591,559.0,5176.6,19539000.0,51.042,448.67,3,3,558.88,4,Pr,5.0
51,47.317037,26.0908516,2.0925,557.0,5049.3,19571000.0,51.042,448.67,3,3,555.48,4,Pr,5.0
65,47.3195973,26.1074784,1.4361,525.0,3677.7,33815000.0,36.046,474.16,3,3,525.93,5,Pr,5.0
66,47.3196065,26.1086688,1.3993,523.0,3587.7,33896000.0,36.046,474.16,3,3,524.6,5,Pr,5.0
67,47.3204255,26.1098456,1.3473,521.0,3460.5,33968000.0,36.046,474.16,3,3,522.73,5,Pr,5.0
75,47.3253531,26.1192902,0.96723,508.0,2516.9,36924000.0,36.046,474.16,3,3,509.03,5,Pr,5.0
128,47.3072251,26.0791153,2.9406,594.0,6554.6,4332100.0,-0.012479,617.16,6,3,617.12,8,Pr,5.0
134,47.3224996,26.0657508,4.4305,663.0,7050.8,2623500.0,45.225,459.81,7,3,660.18,9,Pr,5.0
135,47.3225093,26.0669417,4.3142,663.0,6960.8,2647800.0,45.225,459.81,7,3,654.92,9,Pr,5.0
136,47.3217093,26.0681464,4.1504,649.0,6833.6,2696400.0,45.225,459.81,7,3,647.51,9,Pr,5.0
137,47.3217189,26.0693368,4.0355,644.0,6743.6,2712600.0,45.225,459.81,7,3,642.31,9,Pr,5.0
138,47.3217286,26.0705276,3.9209,639.0,6653.6,3473800.0,45.225,459.81,7,3,637.13,9,Pr,5.0
139,47.320933,26.0717325,3.7759,636.0,6526.4,3676200.0,45.225,459.81,7,3,630.57,9,Pr,5.0
151,47.3202381,26.0860337,2.6348,579.0,5409.3,5206600.0,45.225,459.81,7,3,578.97,9,Pr,5.0
152,47.3202476,26.0872245,2.5493,574.0,5319.3,5222800.0,45.225,459.81,7,3,575.1,9,Pr,5.0
153,47.3202571,26.0884149,2.464,571.0,5229.3,5425200.0,45.225,459.81,7,3,571.24,9,Pr,5.0
162,47.3009731,26.107792,4.12,629.0,6225.5,1805700.0,-0.0060201,595.8,8,3,595.77,10,Pr,5.0
163,47.3017921,26.1089683,3.9254,625.0,6098.3,1830000.0,-0.0060201,595.8,8,3,595.78,10,Pr,5.0
164,47.3026019,26.1089547,3.7886,612.0,6008.3,1959600.0,-0.0060201,595.8,8,3,595.78,10,Pr,5.0
165,47.3034116,26.1089411,3.656,607.0,5918.3,1991900.0,-0.0060201,595.8,8,3,595.78,10,Pr,5.0
